"","Q","Other","Self","Percentile","Subject"
"X11.19",11,0.5,0.5,0.65,20
"X12.19",12,0.5,0.5,0.65,20
"X1.20",1,0.91,1,0.6,21
"X2.20",2,0.91,1,0.6,21
"X3.20",3,0.4,0.4,0.6,21
"X4.20",4,0.6,0.6,0.6,21
"X5.20",5,0.8,0.91,0.6,21
"X6.20",6,0.8,0.8,0.6,21
"X7.20",7,0.6,0.6,0.6,21
"X8.20",8,0.6,0.6,0.6,21
"X9.20",9,0.6,0.6,0.6,21
"X10.20",10,0.5,0.5,0.6,21
"X11.20",11,0.75,0.75,0.6,21
"X12.20",12,0.4,0.4,0.6,21
"X1.21",1,1,1,0.4,22
"X2.21",2,0.5,0.8,0.4,22
"X3.21",3,0.9,0.9,0.4,22
"X4.21",4,0.5,0.5,0.4,22
"X5.21",5,0.8,0.65,0.4,22
"X6.21",6,0.4,0.6,0.4,22
"X7.21",7,1,1,0.4,22
"X8.21",8,0.25,0.7,0.4,22
"X9.21",9,0.6,1,0.4,22
"X10.21",10,0.5,1,0.4,22
"X11.21",11,0.5,0.4,0.4,22
"X12.21",12,0.8,0.95,0.4,22
"X1.22",1,0.5,0.5,0.25,23
"X2.22",2,0.5,0.5,0.25,23
"X3.22",3,0.4,0.4,0.25,23
"X4.22",4,0.4,0.4,0.25,23
"X5.22",5,0.25,0.3,0.25,23
"X6.22",6,0.35,0.5,0.25,23
"X7.22",7,0.25,0.4,0.25,23
"X8.22",8,0.25,0.25,0.25,23
"X9.22",9,0.4,0.5,0.25,23
"X10.22",10,0.25,0.3,0.25,23
"X11.22",11,0.4,0.4,0.25,23
"X12.22",12,0.25,0.25,0.25,23
"X1.23",1,0.9,1,0.45,24
"X2.23",2,0,0,0.45,24
"X3.23",3,0.7,1,0.45,24
"X4.23",4,0.25,0.85,0.45,24
"X5.23",5,0.75,1,0.45,24
"X6.23",6,0.7,0.9,0.45,24
"X7.23",7,0.75,0.8,0.45,24
"X8.23",8,0.25,0.25,0.45,24
"X9.23",9,0.75,0.9,0.45,24
"X10.23",10,0.45,0.65,0.45,24
"X11.23",11,0.88,1,0.45,24
"X12.23",12,0.25,0.25,0.45,24
"X1.24",1,0.75,1,0.35,25
"X2.24",2,1,1,0.35,25
"X3.24",3,0.8,0.75,0.35,25
"X4.24",4,1,1,0.35,25
"X5.24",5,0.8,0.8,0.35,25
"X6.24",6,1,1,0.35,25
"X7.24",7,0.9,0.9,0.35,25
"X8.24",8,0.35,0.5,0.35,25
"X9.24",9,0,0,0.35,25
"X10.24",10,0.75,0.9,0.35,25
"X11.24",11,0.35,0.35,0.35,25
"X12.24",12,0.8,0.75,0.35,25
"X1.25",1,1,1,0.75,26
"X2.25",2,1,1,0.75,26
"X3.25",3,0.5,0.7,0.75,26
"X4.25",4,1,1,0.75,26
"X5.25",5,1,1,0.75,26
"X6.25",6,1,1,0.75,26
"X7.25",7,0.5,0.5,0.75,26
"X8.25",8,0.5,0.5,0.75,26
"X9.25",9,0.8,0.8,0.75,26
"X10.25",10,0.6,0.7,0.75,26
"X11.25",11,1,1,0.75,26
"X12.25",12,0.85,0.7,0.75,26
"X1.26",1,1,1,0.92,27
"X2.26",2,1,1,0.92,27
"X3.26",3,0.95,1,0.92,27
"X4.26",4,0.65,1,0.92,27
"X5.26",5,0.75,1,0.92,27
"X6.26",6,0.75,1,0.92,27
"X7.26",7,0.9,1,0.92,27
"X8.26",8,0.7,1,0.92,27
"X9.26",9,0.95,1,0.92,27
"X10.26",10,0.25,0.25,0.92,27
"X11.26",11,0.6,0.85,0.92,27
"X12.26",12,0.6,0.8,0.92,27
"X1.27",1,0.85,0.86,0.5,28
"X2.27",2,0.05,0.03,0.5,28
"X3.27",3,0.15,0.03,0.5,28
"X4.27",4,0.5,0.5,0.5,28
"X5.27",5,0.5,0.55,0.5,28
"X6.27",6,0.55,0.8,0.5,28
"X7.27",7,0.5,0.3,0.5,28
"X8.27",8,0.5,0.55,0.5,28
"X9.27",9,0.5,0.65,0.5,28
"X10.27",10,0.3,0.55,0.5,28
"X11.27",11,0.05,0.7,0.5,28
"X12.27",12,0.2,0.3,0.5,28
